Order ID,Start Latitude,Start Longitude,End Latitude,End Longitude,Generate Time,Description
1,37.75129852250145,-122.44281593905974,37.7224831169895,-122.38918385711568,2022-07-18 20:53:14.052795,
2,37.782749955336826,-122.48843746231405,37.725610251918745,-122.48118506711573,2022-07-18 20:53:14.326367,
3,37.78635826357759,-122.41549852166015,37.793253513388834,-122.42548331233711,2022-07-18 20:53:14.161394,
4,37.78705652297205,-122.41140393267183,37.80085267632679,-122.42831784255765,2022-07-18 20:53:14.695140,
5,37.7667363128336,-122.45057252500334,37.71352962340193,-122.3898870445332,2022-07-18 20:53:14.797606,
6,37.78404033949819,-122.42073757754555,37.79607102843331,-122.40497162191687,2022-07-18 20:53:14.321592,
7,37.715572377986994,-122.47932538098262,37.77644585975361,-122.41038370683201,2022-07-18 20:53:14.822021,
8,37.785320061390124,-122.41675247562195,37.79602635966433,-122.41282824439949,2022-07-18 20:53:14.969880,
9,37.799420607774096,-122.43141082004591,37.75106477210421,-122.41814260317301,2022-07-18 20:53:14.360901,
10,37.77377233063857,-122.42590695123472,37.75269634268669,-122.41182799974013,2022-07-18 20:53:14.410548,
11,37.77659473026874,-122.40780625321807,37.78526805531603,-122.43373167466386,2022-07-18 20:53:14.810088,
12,37.79139695874244,-122.42038065987893,37.79306897653281,-122.41469331087833,2022-07-18 20:53:14.687091,
13,37.78468105237914,-122.41153812069717,37.79014837295757,-122.43257124530176,2022-07-18 20:53:14.613809,
14,37.78395485729633,-122.47547841944622,37.74750199343986,-122.48849848483752,2022-07-18 20:53:14.959550,
15,37.78797092312157,-122.45275836834331,37.72721225373313,-122.42043361612711,2022-07-18 20:53:14.193208,
16,37.75528028148883,-122.41247484569017,37.78857977342698,-122.41184153942561,2022-07-18 20:53:14.322698,
17,37.71495472980531,-122.47662743355282,37.753611866397314,-122.3981790536579,2022-07-18 20:53:14.294663,
18,37.75460738996464,-122.39938033581693,37.77781033280575,-122.47772499363828,2022-07-18 20:53:14.216617,
19,37.80116785586275,-122.42708197374064,37.7340588547699,-122.3780378289483,2022-07-18 20:53:14.955406,
20,37.785331339297095,-122.41118340137402,37.783859184568236,-122.41988371758057,2022-07-18 20:53:14.559385,
21,37.75488078788343,-122.42774826108962,37.783777540159974,-122.41262760994763,2022-07-18 20:53:14.963560,
22,37.763437744848595,-122.47989578565416,37.76785289609076,-122.42267217793179,2022-07-18 20:53:14.546228,
23,37.792217954303474,-122.4119482927503,37.75967191245106,-122.41070922529926,2022-07-18 20:53:14.909534,
24,37.78842444940547,-122.42971373745466,37.766493768136854,-122.44784420975581,2022-07-18 20:53:14.951560,
25,37.78694905072993,-122.41604470311435,37.789615599557024,-122.4109921868051,2022-07-18 20:53:14.262703,
26,37.75921571331455,-122.42035158281848,37.78767754203022,-122.39516105517941,2022-07-18 20:53:14.507767,
27,37.77453129214922,-122.43770225546258,37.784045432691435,-122.41428192949184,2022-07-18 20:53:14.569288,
28,37.78978177321929,-122.41743823295178,37.780926108595786,-122.42307361553992,2022-07-18 20:53:14.181844,
29,37.79038363544877,-122.41499542464327,37.79303261964785,-122.40394572889149,2022-07-18 20:53:14.103522,
30,37.71873577932721,-122.468088499267,37.78248959010012,-122.4148606450809,2022-07-18 20:53:14.165034,
31,37.78266441394283,-122.41654082940681,37.720612529035506,-122.45769492990662,2022-07-18 20:53:14.008634,
32,37.782716328868446,-122.41045084942077,37.74787744616523,-122.42933514756753,2022-07-18 20:53:14.495248,
33,37.77760641799203,-122.50213239203808,37.78247882888251,-122.41572129943691,2022-07-18 20:53:14.956980,
34,37.800559009341576,-122.40687929312054,37.787280579430316,-122.41256115144283,2022-07-18 20:53:14.328968,
35,37.75891863276154,-122.45840541502496,37.78355845736309,-122.4125080361871,2022-07-18 20:53:14.160739,
36,37.75238060340413,-122.4310666407743,37.71522168385749,-122.4026067584819,2022-07-18 20:53:14.177799,
37,37.76120760012835,-122.42118295764573,37.75456076038364,-122.4098706627525,2022-07-18 20:53:14.933510,
38,37.7535382224243,-122.43926009667716,37.787096307454775,-122.41177965930137,2022-07-18 20:53:14.735571,
39,37.785052546975805,-122.41676057340592,37.71441429371115,-122.41076707930588,2022-07-18 20:53:14.731362,
40,37.78336728652036,-122.41404895560706,37.714682183170694,-122.46574575427383,2022-07-18 20:53:14.033049,
41,37.758947985108605,-122.41297959082196,37.75758541377392,-122.43797235354117,2022-07-18 20:53:14.420755,
42,37.78464547388368,-122.40925996150202,37.78407100991051,-122.41826924181198,2022-07-18 20:53:14.896983,
43,37.788229328116415,-122.41904971969673,37.78595462013164,-122.44943613475029,2022-07-18 20:53:14.689394,
44,37.7540920571335,-122.41400316063728,37.78726864717102,-122.41842194321366,2022-07-18 20:53:14.835667,
45,37.77885139850343,-122.43993379865059,37.74419801835124,-122.41249384656501,2022-07-18 20:53:14.012028,
